"송신 서버 번호","데이터 번호","패킷 사이즈","데이터 사이즈","패킷 구분 명","패킷 명","패킷 길이","패킷 단위","패킷 범주","설명","정렬 순서","공개 구분 명"
"16","1","59","36","테일","초미세먼지","6","㎍/m³","0~1000","10분당 초미세먼지체크값(평균)","50","개방"
"16","1","59","36","테일","미세먼지","6","㎍/m³","0~1000","10분당 미세먼지체크값(평균)","60","개방"
"16","1","59","36","테일","휘발성유기화합물","6","ppb","0 ~ 60000","10분당 TVOCs체크값(평균)","70","개방"
"16","1","59","36","테일","이산화탄소","6","ppm","0 ~ 10000","10분당 CO2eq체크값(평균)","80","개방"
"17","1","87","64","헤더","모델명","8","","","BMC-300S","10","개방"
"17","1","87","64","테일"," 소등편차","3","분","-79~+79","소등시간조절값","70","개방"
"17","1","87","64","테일","디밍시 1","2","시","XX00~23","디밍 가능한 3단계중 첫번째 단계가 작동한 시간","130","개방"
"17","1","87","64","테일","디밍분 1","2","분","00~59","디밍 가능한 3단계중 첫번째 단계가 작동한 분","140","개방"
"17","1","87","64","테일","디밍값 1","3","%","0~100","디밍 가능한 3단계중 첫번째 단계의 디밍 퍼센테이지","150","개방"
"17","1","87","64","테일","디밍시 2","2","시","XX00~23","디밍 가능한 3단계중 두번째 단계가 작동한 시간","160","개방"
"17","1","87","64","테일","디밍분 2","2","시","00~59","디밍 가능한 3단계중 두번째 단계가 작동한 분","170","개방"
"17","1","87","64","테일","디밍값 2","3","%","0~100","디밍 가능한 3단계중 두번째 단계의 디밍 퍼센테이지","180","개방"
"17","1","87","64","테일","디밍시 3","2","시","XX00~23","디밍 가능한 3단계중 세번째 단계가 작동한 시간","190","개방"
"17","1","87","64","테일","디밍분 3","2","분","00~59","디밍 가능한 3단계중 세번째 단계가 작동한 분","200","개방"
"17","1","87","64","테일","디밍값 3","3","%","0~100","디밍 가능한 3단계중 세번째 단계의 디밍 퍼센테이지","210","개방"
"17","1","87","64","테일","현재디밍값","3","%","10~100%","현재디밍값","220","개방"
"17","1","87","64","테일","현재전력값","5","W","0~1000","현재전력값","230","개방"
"17","1","87","64","테일","누전발생","1","","0(정상)/1(고장)","누전발생 여부","260","개방"
"14","1","37","29","테일","복합악취센싱값","4","","","10분간 측정한 복합악취10분간 측정한 복합악취센싱값(2초 센싱후 10분간 평균값 전송) / 절대값이 아닌 상대값으로 변동 추이를 확인하는 값","4","개방"
"15","1","69","48","헤더","설치기기별 시리얼(고유번호)","11","","문자열","L.SEND 일련번호(1804TBXXXXX XXXXX는 가변숫자)","20","개방"
"15","1","69","48","테일","배터리 부족 ","1","","정상 : 0 비정상(오류) : 1","","40","개방"
"15","1","69","48","테일","임피던스 회로 오류","1","","정상 : 0 비정상(오류) : 1","","50","개방"
"15","1","69","48","테일","심전도 회로 오류 ","1","","정상 : 0 비정상(오류) : 1","","60","개방"
"15","1","69","48","테일","배터리 경고 ","1","","정상 : 0 비정상(오류) : 1","","70","개방"
"15","1","69","48","테일","시스템 오류 ","1","","정상 : 0 비정상(오류) : 1","","80","개방"
"15","1","69","48","테일","충격 보고 ","1","","정상 : 0 비정상(오류) : 1","","90","개방"
"15","1","69","48","테일","문열림 보고 ","1","","정상 : 0 비정상(오류) : 1","","100","개방"
"15","1","69","48","테일","응급사용 보고 ","1","","정상 : 0 비정상(오류) : 1","","110","개방"
"15","1","69","48","테일","점검중 보고 ","1","","정상 : 0 비정상(오류) : 1","","120","개방"
"15","1","69","48","테일","시스템에 설치 정보 보고","1","","정상 : 0 비정상(오류) : 1","","130","개방"
"15","1","69","48","테일","교체/철거 보고 ","1","","정상 : 0 비정상(오류) : 1","","140","개방"
"15","1","69","48","테일","기기탈착 보고 ","1","","정상 : 0 비정상(오류) : 1","","150","개방"
"15","1","69","48","테일","AED 링크 오류 ","1","","정상 : 0 비정상(오류) : 1","","160","개방"
"15","1","69","48","테일","영하 경보 ","1","","정상 : 0 비정상(오류) : 1","","170","개방"
"15","1","69","48","테일","고온 경보","1","","정상 : 0 비정상(오류) : 1","","180","개방"
"16","1","59","36","헤더","모델명","11","","","모델명","10","개방"
"20","1","125","115","테일","연비","5","km/L","0.000~999.9","주행 연비","160","개방"
"24","1","19","5","테일","연기 감지","1","","","연기 감지","50","개방"
"24","1","19","5","테일","온도 감지","1","","","온도 감지","60","개방"
"30","1","202","184","헤더","모델명","7","","dot","모델명","10","개방"
"30","1","202","184","테일","기온","7","℃","-40.0~120.0","2분 평균 기온","50","개방"
