"송신 서버 번호","데이터 번호","패킷 사이즈","데이터 사이즈","패킷 구분 명","패킷 명","패킷 길이","패킷 단위","패킷 범주","설명","정렬 순서","공개 구분 명"
"15","1","69","48","테일","심전도 회로 오류 ","1","","정상 : 0 비정상(오류) : 1","","6","개방"
"15","1","69","48","테일","배터리 경고 ","1","","정상 : 0 비정상(오류) : 1","","7","개방"
"15","1","69","48","테일","시스템 오류 ","1","","정상 : 0 비정상(오류) : 1","","8","개방"
"15","1","69","48","테일","충격 보고 ","1","","정상 : 0 비정상(오류) : 1","","9","개방"
"77","1","185","167","테일","오존","7","ppm","0~2000","2분 평균 오존         표현범위 →    0 ? 2000 (관측값 × 1000)","300","개방"
"15","1","69","48","테일","응급사용 보고 ","1","","정상 : 0 비정상(오류) : 1","","11","개방"
"15","1","69","48","테일","점검중 보고 ","1","","정상 : 0 비정상(오류) : 1","","12","개방"
"15","1","69","48","테일","시스템에 설치 정보 보고","1","","정상 : 0 비정상(오류) : 1","","13","개방"
"15","1","69","48","테일","교체/철거 보고 ","1","","정상 : 0 비정상(오류) : 1","","14","개방"
"15","1","69","48","테일","기기탈착 보고 ","1","","정상 : 0 비정상(오류) : 1","","15","개방"
"78","1","185","167","테일","진동(x)","7","g","0~1600","60분 평균 진동(x)         표현범위 →    0 ? 1600 (관측값 × 100)","150","개방"
"80","1","185","167","테일","미세먼지10(미세먼지)","4","㎍/㎥","0~1500","30분 평균 미세먼지         표현범위 →    0 ? 1500 (관측값)","50","개방"
"15","1","69","48","테일","AED 링크 오류 ","1","","정상 : 0 비정상(오류) : 1","","16","개방"
"15","1","69","48","테일","영하 경보 ","1","","정상 : 0 비정상(오류) : 1","","17","개방"
"15","1","69","48","테일","고온 경보","1","","정상 : 0 비정상(오류) : 1","","18","개방"
"80","1","185","167","테일","소음","2","dB ","35~85","30분 평균 소음         표현범위 →    35 ? 85 (관측값)","140","개방"
"41","1","121","99","테일","대여시간","14","","","대여시간","30","개방"
"42","1","56","38","헤더","모델명","6","","","MB-001","10","개방"
"42","1","56","38","테일","기록시간","19","","","yyyy-mm-dd_hh:mm:ss","70","개방"
"47","1","185","167","테일","일산화탄소","7","ppm","0~12500","10분 평균 일산화탄소","250","개방"
"48","1","185","167","테일","풍속","7","m/s","0.0~100.0","60분 평균 풍속","90","개방"
"49","1","185","167","테일","소음","2","㏈","35~85","1일 평균 소음","140","개방"
"49","1","185","167","테일","이산화질소","7","","0~2000","1일 평균 이산화질소","260","개방"
"54","1","53","42","테일","PM025","4","㎍/㎥","0000~1001","단위 공간당 미세먼지 량(PM2.5)","40","내부"
"55","1","50","30","헤더","시리얼","12","","","시리얼","20","내부"
"55","1","50","30","테일","위도","10","","35.0000000~39.0000000","위도","30","내부"
"55","1","50","30","테일","청소거리","10","m","0m~2000m","청소거리","50","내부"
"61","1","36","8","헤더","모델명","12","","","모델명","10","개방"
"61","1","36","8","테일","레이서센서 상태","1","","0 : 정상 / 1 : 고장 / 9 : 정보없음","레이서센서 상태","50","개방"
"62","1","32","17","테일","상태정보 ((1: 켜짐 / 2 : 장애 / 3 : 꺼짐)","1","","(1: 켜짐 / 2 : 장애 / 3 : 꺼짐","","40","개방"
"75","1","64","53","헤더","모델명","7","","SDOT001","모델명","10","개방"
"75","1","64","53","테일","방문자수","10","","0~9999999999","0000001287","70","개방"
"75","1","64","53","테일","날짜","12","","%Y%M%D%H%I","201912130109","80","개방"
"77","1","185","167","헤더","모델명","7","","SDOT001","모델명","10","개방"
"77","1","185","167","헤더","시리얼","11","","","시리얼","20","개방"
"77","1","185","167","테일","기온","7","℃","500~1800","2분 평균 기온         표현범위 →  500 ? 1800 ((관측값 ＋ 100) × 10)","60","개방"
"77","1","185","167","테일","상대습도","3","%","0~100","2분 평균 상대습도         표현범위 →    0 ? 100 (관측값)","70","개방"
"77","1","185","167","테일","풍향","4","m/s","1~3599","2분 평균 풍향         표현범위 →    1 ? 3599 (관측값 × 10)","80","개방"
"77","1","185","167","테일","돌풍 풍향","4","m/s","0~3599","2분 돌풍 풍향         표현범위 →    0 ? 3599 (관측값 × 10)","100","개방"
"77","1","185","167","테일","진동(x) 최대","7","g","0~1600","2분 최대 진동(x)         표현범위 →    0 ? 1600 (관측값 × 100)","180","개방"
"77","1","185","167","테일","일산화탄소","7","ppm","0~12500","2분 평균 일산화탄소         표현범위 →    0 ? 12500 (관측값 × 1000)","250","개방"
"79","1","185","167","테일","구분","1","","1~3","1:평균/2:최대값/3:최소값","30","개방"
"78","1","185","167","테일","미세먼지10(미세먼지)","4","㎍/㎥","0~1500","60분 평균 미세먼지         표현범위 →    0 ? 1500 (관측값)","50","개방"
"78","1","185","167","테일","조도","6","lux","0~120000","60분 평균 조도         표현범위 →    0 ? 120000 (관측값)","120","개방"
"93","1","36","15","테일","날짜","8","","","날짜","40","개방"
"93","1","36","15","테일","시간","2","","00~23","시간","50","개방"
"112","1","53","34","테일","초미세먼지","4","㎍/㎥","0~9999","초미세먼지","50","내부"
"48","1","185","167","테일","오존","7","","0~2000","60분 평균 오존","300","개방"
"49","1","185","167","테일","오존","7","","0~2000","1일 평균 오존","300","개방"
"54","1","53","42","테일","TIMESTAMP","10","","","데이터 측정 시간(unix timestamp)","20","내부"
"54","1","53","42","테일","PM050","4","㎍/㎥","0000~1002","단위 공간당 미세먼지 량(PM4.0)","50","내부"
"54","1","53","42","테일","HUMIDITY","3","%RH","00&#039;0~100","습도 측정갑","80","내부"
"55","1","50","30","테일","경도","10","","125.000000~129.000000","경도","40","내부"
"62","1","32","17","헤더","시리얼","7","","시리얼넘버","시리얼","20","개방"
"77","1","185","167","테일","돌풍 풍속","7","m/s","0~1000","2분 돌풍 풍속         표현범위 →    0 ? 1000 (관측값 × 10)","110","개방"
"77","1","185","167","테일","소음","2","dB ","35~85","2분 평균 소음         표현범위 →    35 ? 85 (관측값)","140","개방"
"73","1","202","184","헤더","모델명","7","","SDOT001","모델명","10","개방"
"73","1","202","184","헤더","시리얼","11","","","시리얼","20","개방"
"73","1","202","184","테일","진동(y) 최대","7","g","0~1600","2분 최대 진동(y)         표현범위 →    0 ? 1600 (관측값 × 100)","180","개방"
"73","1","202","184","테일","흑구 온도","7","℃","500~1800","2분 평균 흑구온도         표현범위 →  500 ? 1800 ((관측값 ＋ 100) × 10)","200","개방"
"73","1","202","184","테일","pm25 보정","4","㎍/㎥","0~1500","초미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","210","개방"
"73","1","202","184","테일","일산화탄소","7","ppm","0~12500","2분 평균 일산화탄소         표현범위 →    0 ? 12500 (관측값 × 1000)","240","개방"
"73","1","202","184","테일","이산화질소","7","ppm","0~2000","2분 평균 이산화질소         표현범위 →    0 ? 2000 (관측값 × 1000)","250","개방"
"77","1","185","167","테일","진동(x)","7","g","0~1600","2분 평균 진동(x)         표현범위 →    0 ? 1600 (관측값 × 100)","150","개방"
"77","1","185","167","테일","진동(y) 최대","7","g","0~1600","2분 최대 진동(y)         표현범위 →    0 ? 1600 (관측값 × 100)","190","개방"
"77","1","185","167","테일","진동(z) 최대","7","g","0~1600","2분 최대 진동(z)         표현범위 →    0 ? 1600 (관측값 × 100)","200","개방"
"77","1","185","167","테일","흑구 온도","7","℃","500~1800","2분 평균 흑구온도         표현범위 →  500 ? 1800 ((관측값 ＋ 100) × 10)","210","개방"
"77","1","185","167","테일","이산화황","7","ppm","0~2000","2분 평균 이산화황         표현범위 →    0 ? 2000 (관측값 × 1000)","270","개방"
"77","1","185","167","테일","황화수소","7","ppm","0~100000","2분 평균 황화수소         표현범위 →    0 ? 100000 (관측값x1000)","290","개방"
"78","1","185","167","테일","상대습도","3","%","0~100","60분 평균 상대습도         표현범위 →    0 ? 100 (관측값)","70","개방"
"78","1","185","167","테일","돌풍 풍속","7","m/s","0~1000","60분 돌풍 풍속         표현범위 →    0 ? 1000 (관측값 × 10)","110","개방"
"78","1","185","167","테일","pm25 보정","4","㎍/㎥","0~1500","초미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","220","개방"
"78","1","185","167","테일","pm10 보정","4","㎍/㎥","0~1500","미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","230","개방"
"80","1","185","167","테일","자외선","7","UV","0~160","30분 평균 자외선         표현범위 →    0 ? 160 (관측값 × 10)","130","개방"
"74","1","56","38","헤더","시리얼","11","","","시리얼","20","개방"
"84","1","185","167","테일","이산화황","7","ppm","0~2000","30분 평균 이산화황  표현범위 →    0 ? 2000 (관측값 × 1000)","270","개방"
"54","1","53","42","테일","TEMPARUTURE","3","°C","-40~125","온도 측정값","70","내부"
"62","1","32","17","헤더","모델명","8","","","모델명","10","개방"
"75","1","64","53","헤더","시리얼","4","","1001~9999","시리얼","20","개방"
"75","1","64","53","테일","지역아이디","1","","1","1","60","개방"
"73","1","202","184","테일","미세먼지2.5(초미세먼지)","4","㎍/㎥","0~1500","2분 평균 초미세먼지         표현범위 →    0 ? 1500 (관측값)","30","개방"
"73","1","202","184","테일","미세먼지10(미세먼지)","4","㎍/㎥","0~1500","2분 평균 미세먼지         표현범위 →    0 ? 1500 (관측값)","40","개방"
"73","1","202","184","테일","기온","7","℃","500~1800","2분 평균 기온         표현범위 →  500 ? 1800 ((관측값 ＋ 100) × 10)","50","개방"
"73","1","202","184","테일","상대습도","3","%","0~100","2분 평균 상대습도         표현범위 →    0 ? 100 (관측값)","60","개방"
"73","1","202","184","테일","풍향","4","m/s","1~3599","2분 평균 풍향         표현범위 →    1 ? 3599 (관측값 × 10)","70","개방"
"73","1","202","184","테일","풍속","7","m/s","1~1000","2분 평균 풍속         표현범위 →    1 ? 1000 (관측값 × 10)","80","개방"
"73","1","202","184","테일","돌풍 풍향","4","m/s","0~3599","2분 돌풍 풍향         표현범위 →    0 ? 3599 (관측값 × 10)","90","개방"
"73","1","202","184","테일","돌풍 풍속","7","m/s","0~1000","2분 돌풍 풍속         표현범위 →    0 ? 1000 (관측값 × 10)","100","개방"
"73","1","202","184","테일","조도","6","lux","0~120000","2분 평균 조도         표현범위 →    0 ? 120000 (관측값)","110","개방"
"73","1","202","184","테일","자외선","7","UV","0~160","2분 평균 자외선         표현범위 →    0 ? 160 (관측값 × 10)","120","개방"
"73","1","202","184","테일","소음","2","dB ","35~85","2분 평균 소음         표현범위 →    35 ? 85 (관측값)","130","개방"
"73","1","202","184","테일","진동(x)","7","g","0~1600","2분 평균 진동(x)         표현범위 →    0 ? 1600 (관측값 × 100)","140","개방"
"73","1","202","184","테일","진동(y)","7","g","0~1600","2분 평균 진동(y)         표현범위 →    0 ? 1600 (관측값 × 100)","150","개방"
"73","1","202","184","테일","진동(z)","7","g","0~1600","2분 평균 진동(z)         표현범위 →    0 ? 1600 (관측값 × 100)","160","개방"
"73","1","202","184","테일","진동(x) 최대","7","g","0~1600","2분 최대 진동(x)         표현범위 →    0 ? 1600 (관측값 × 100)","170","개방"
"73","1","202","184","테일","진동(z) 최대","7","g","0~1600","2분 최대 진동(z)         표현범위 →    0 ? 1600 (관측값 × 100)","190","개방"
"73","1","202","184","테일","pm10 보정","4","㎍/㎥","0~1500","미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","220","개방"
"73","1","202","184","테일","센서시간","12","","%Y%M%D%H%I","201912130901","230","개방"
"78","1","185","167","테일","진동(y)","7","g","0~1600","60분 평균 진동(y)         표현범위 →    0 ? 1600 (관측값 × 100)","160","개방"
"50","1","26","15","헤더","시리얼","11","PU0","","시리얼","10","개방"
"50","1","26","15","테일","정보1","1","PU1","","정보1","20","개방"
"50","1","26","15","테일","정보2","2","PU2","","정보2","30","개방"
"50","1","26","15","테일","정보3","3","PU3","","정보3","40","개방"
"50","1","26","15","테일","정보4","4","PU4","","정보4","50","개방"
"50","1","26","15","테일","정보5","5","PU5","","정보5","60","개방"
"78","1","185","167","테일","진동(x) 최대","7","g","0~1600","60분 최대 진동(x)         표현범위 →    0 ? 1600 (관측값 × 100)","180","개방"
"78","1","185","167","테일","진동(y) 최대","7","g","0~1600","60분 최대 진동(y)         표현범위 →    0 ? 1600 (관측값 × 100)","190","개방"
"78","1","185","167","테일","이산화질소","7","ppm","0~2000","60분 평균 이산화질소         표현범위 →    0 ? 2000 (관측값 × 1000)","260","개방"
"78","1","185","167","테일","이산화황","7","ppm","0~2000","60분 평균 이산화황         표현범위 →    0 ? 2000 (관측값 × 1000)","270","개방"
"80","1","185","167","테일","진동(z) 최대","7","g","0~1600","30분 최대 진동(z)         표현범위 →    0 ? 1600 (관측값 × 100)","200","개방"
"74","1","56","38","테일","센서 날짜","12","","%Y%M%D%H%I","201912130109","210","개방"
"74","1","56","38","테일","암모니아","1","","0~1","센서 상태 코드 : 1정상. 0비정상","250","개방"
"80","1","185","167","테일","일산화탄소","7","ppm","0~12500","30분 평균 일산화탄소         표현범위 →    0 ? 12500 (관측값 × 1000)","250","개방"
"80","1","185","167","테일","이산화질소","7","ppm","0~2000","30분 평균 이산화질소         표현범위 →    0 ? 2000 (관측값 × 1000)","260","개방"
"112","1","53","34","테일","휘발성유기화합물","5","PPB","0~99999","휘발성유기화합물","60","내부"
"49","1","185","167","테일","암모니아","7","","0~100000","1일 평균 암모니아","280","개방"
"62","1","32","17","테일","보안등구분KEY","16","","","","30","개방"
"77","1","185","167","테일","조도","6","lux","0~120000","2분 평균 조도         표현범위 →    0 ? 120000 (관측값)","120","개방"
"77","1","185","167","테일","pm25 보정","4","㎍/㎥","0~1500","초미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","220","개방"
"77","1","185","167","테일","암모니아","7","ppm","0~100000","2분 평균 암모니아         표현범위 →    0 ? 100000 (관측값x1000)","280","개방"
"78","1","185","167","헤더","모델명","7","","SDOT001","모델명","10","개방"
"78","1","185","167","테일","미세먼지2.5(초미세먼지)","4","㎍/㎥","0~1500","60분 평균 초미세먼지         표현범위 →    0 ? 1500 (관측값)","40","개방"
"78","1","185","167","테일","기온","7","℃","500~1800","60분 평균 기온         표현범위 →  500 ? 1800 ((관측값 ＋ 100) × 10)","60","개방"
"78","1","185","167","테일","돌풍 풍향","4","m/s","0~3599","60분 돌풍 풍향         표현범위 →    0 ? 3599 (관측값 × 10)","100","개방"
"84","1","185","167","테일","황화수소","7","ppm","0~100000","30분 평균 황화수소 표현범위 →    0 ? 100000 (관측값x1000)","290","개방"
"85","1","43","30","테일","온도","4","C","-40 ~ 125","온도","30","개방"
"87","1","23","8","헤더","모델명","6","","","모델명","10","개방"
"74","1","56","38","테일","풍향","1","","0~1","센서 상태 코드 : 1정상. 0비정상","70","개방"
"74","1","56","38","테일","진동(x) 최대","1","","0~1","센서 상태 코드 : 1정상. 0비정상","170","개방"
"74","1","56","38","테일","이산화질소","1","","0~1","센서 상태 코드 : 1정상. 0비정상","230","개방"
"73","1","202","184","테일","암모니아","7","ppm","0~100000","2분 평균 암모니아         표현범위 →    0 ? 100000 (관측값x1000)","270","개방"
"73","1","202","184","테일","황화수소","7","ppm","0~100000","2분 평균 황화수소         표현범위 →    0 ? 100000 (관측값x1000)","280","개방"
"73","1","202","184","테일","오존","7","ppm","0~2000","2분 평균 오존         표현범위 →    0 ? 2000 (관측값 × 1000)","290","개방"
"73","1","202","184","테일","위도","9","°","ddd.mmmmm","순간 위도         표현범위 →  ddd.mmmmm (관측값)","300","개방"
"73","1","202","184","테일","경도","9","°","ddd.mmmmm","순간 경도         표현범위 →  ddd.mmmmm (관측값)","310","개방"
"111","1","930","300","헤더","모델명","6","","","모델명","10","개방"
"111","1","930","300","헤더","시리얼","12","","","시리얼","20","개방"
"111","1","930","300","테일","온도","3","℃","-40~80","온도","30","개방"
"111","1","930","300","테일","습도","3","%","0~100","습도","40","개방"
"111","1","930","300","테일","미세먼지","4","ug/m³","0~1000","PM10","50","개방"
"111","1","930","300","테일","초미세먼지","4","ug/m³","0~1000","PM2.5","60","개방"
"111","1","930","300","테일","휘발성유기화합물","5","ppb","0~60000","휘발성유기화합물(TVOC)","70","개방"
"111","1","930","300","테일","이산화탄소","5","ppm","0~10000","이산화탄소(CO2)","80","개방"
"112","1","53","34","헤더","모델명","7","","","모델명","10","내부"
"112","1","53","34","헤더","시리얼","12","","","시리얼","20","내부"
"112","1","53","34","테일","온도","3","?C","-40~125","온도","30","내부"
"112","1","53","34","테일","습도","3","RH%","0~100","습도","40","내부"
"112","1","53","34","테일","시간","14","","","시간","80","내부"
"78","1","185","167","헤더","시리얼","11","","","시리얼","20","개방"
"78","1","185","167","테일","구분","1","","1~3","1:평균/2:최대값/3:최소값","30","개방"
"78","1","185","167","테일","자외선","7","UV","0~160","60분 평균 자외선         표현범위 →    0 ? 160 (관측값 × 10)","130","개방"
"78","1","185","167","테일","소음","2","dB ","35~85","60분 평균 소음         표현범위 →    35 ? 85 (관측값)","140","개방"
"78","1","185","167","테일","진동(z)","7","g","0~1600","60분 평균 진동(z)         표현범위 →    0 ? 1600 (관측값 × 100)","170","개방"
"78","1","185","167","테일","진동(z) 최대","7","g","0~1600","60분 최대 진동(z)         표현범위 →    0 ? 1600 (관측값 × 100)","200","개방"
"78","1","185","167","테일","흑구 온도","7","℃","500~1800","60분 평균 흑구온도         표현범위 →  500 ? 1800 ((관측값 ＋ 100) × 10)","210","개방"
"78","1","185","167","테일","센서시간","12","","%Y%M%D%H%I","201912130901","240","개방"
"78","1","185","167","테일","일산화탄소","7","ppm","0~12500","60분 평균 일산화탄소         표현범위 →    0 ? 12500 (관측값 × 1000)","250","개방"
"78","1","185","167","테일","암모니아","7","ppm","0~100000","60분 평균 암모니아         표현범위 →    0 ? 100000 (관측값x1000)","280","개방"
"80","1","185","167","테일","구분","1","","1~3","1:평균/2:최대값/3:최소값","30","개방"
"80","1","185","167","테일","미세먼지2.5(초미세먼지)","4","㎍/㎥","0~1500","30분 평균 초미세먼지         표현범위 →    0 ? 1500 (관측값)","40","개방"
"80","1","185","167","테일","진동(x)","7","g","0~1600","30분 평균 진동(x)         표현범위 →    0 ? 1600 (관측값 × 100)","150","개방"
"80","1","185","167","테일","진동(y) 최대","7","g","0~1600","30분 최대 진동(y)         표현범위 →    0 ? 1600 (관측값 × 100)","190","개방"
"80","1","185","167","테일","pm10 보정","4","㎍/㎥","0~1500","미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","230","개방"
"80","1","185","167","테일","이산화황","7","ppm","0~2000","30분 평균 이산화황         표현범위 →    0 ? 2000 (관측값 × 1000)","270","개방"
"83","1","43","23","헤더","시리얼","7","","","시리얼","20","개방"
"84","1","185","167","테일","일산화탄소","7","ppm","0~12500","30분 평균 일산화탄소         표현범위 →    0 ? 12500 (관측값 × 1000)","250","개방"
"84","1","185","167","테일","암모니아","7","ppm","0~100000","30분 평균 암모니아 표현범위 →    0 ? 100000 (관측값x1000)","280","개방"
"84","1","185","167","테일","오존","7","ppm","0~2000","30분 평균 오존 표현범위 →    0 ? 2000 (관측값 × 1000)","300","개방"
"74","1","56","38","테일","돌풍 풍속","1","","0~1","센서 상태 코드 : 1정상. 0비정상","100","개방"
"86","1","23","8","테일","PWR","2","","Y or N","동작 중 : Y 정지 : N","50","개방"
"87","1","46","31","테일","동작 중 : Y 정지 : N","2","","Y or N","동작 중 : Y 정지 : N","60","개방"
"104","1","19","8","헤더","모델명","5","","","모델명","10","개방"
"90","1","30","20","헤더","모델명","3","","","모델명","10","개방"
"90","1","30","20","헤더","시리얼","7","","","시리얼","20","개방"
"90","1","30","20","테일","온도","20","C","-30 ~ 50","온도","30","개방"
"91","1","30","20","헤더","모델명","3","","","모델명","10","개방"
"91","1","30","20","헤더","시리얼","7","","","시리얼","20","개방"
"91","1","30","20","테일","온도","20","C","-30 ~ 50","온도","30","개방"
"112","1","53","34","테일","이산화탄소","5","PPM","400~99999","이산화탄소","70","내부"
"78","1","185","167","테일","황화수소","7","ppm","0~100000","60분 평균 황화수소         표현범위 →    0 ? 100000 (관측값x1000)","290","개방"
"78","1","185","167","테일","오존","7","ppm","0~2000","60분 평균 오존         표현범위 →    0 ? 2000 (관측값 × 1000)","300","개방"
"80","1","185","167","헤더","모델명","7","","SDOT001","모델명","10","개방"
"80","1","185","167","헤더","시리얼","11","","","시리얼","20","개방"
"80","1","185","167","테일","기온","7","℃","500~1800","30분 평균 기온         표현범위 →  500 ? 1800 ((관측값 ＋ 100) × 10)","60","개방"
"80","1","185","167","테일","상대습도","3","%","0~100","30분 평균 상대습도         표현범위 →    0 ? 100 (관측값)","70","개방"
"80","1","185","167","테일","풍향","4","m/s","1~3599","30분 평균 풍향         표현범위 →    1 ? 3599 (관측값 × 10)","80","개방"
"80","1","185","167","테일","진동(y)","7","g","0~1600","30분 평균 진동(y)         표현범위 →    0 ? 1600 (관측값 × 100)","160","개방"
"80","1","185","167","테일","진동(z)","7","g","0~1600","30분 평균 진동(z)         표현범위 →    0 ? 1600 (관측값 × 100)","170","개방"
"80","1","185","167","테일","진동(x) 최대","7","g","0~1600","30분 최대 진동(x)         표현범위 →    0 ? 1600 (관측값 × 100)","180","개방"
"80","1","185","167","테일","흑구 온도","7","℃","500~1800","30분 평균 흑구온도         표현범위 →  500 ? 1800 ((관측값 ＋ 100) × 10)","210","개방"
"80","1","185","167","테일","pm25 보정","4","㎍/㎥","0~1500","초미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","220","개방"
"80","1","185","167","테일","센서시간","12","","%Y%M%D%H%I","201912130901","240","개방"
"80","1","185","167","테일","암모니아","7","ppm","0~100000","30분 평균 암모니아         표현범위 →    0 ? 100000 (관측값x1000)","280","개방"
"80","1","185","167","테일","황화수소","7","ppm","0~100000","30분 평균 황화수소         표현범위 →    0 ? 100000 (관측값x1000)","290","개방"
"80","1","185","167","테일","오존","7","ppm","0~2000","30분 평균 오존         표현범위 →    0 ? 2000 (관측값 × 1000)","300","개방"
"83","1","43","23","헤더","모델명","13","","","모델명","10","개방"
"84","1","185","167","테일","이산화질소","7","ppm","0~2000","30분 평균 이산화질소         표현범위 →    0 ? 2000 (관측값 × 1000)","260","개방"
"85","1","43","30","헤더","시리얼","5","","","시리얼","20","개방"
"85","1","43","30","테일","습도","3","%","0~100","습도","40","개방"
"85","1","43","30","테일","미세먼지","4","μm","0~1000","미세먼지","50","개방"
"79","1","185","167","헤더","모델명","7","","SDOT001","모델명","10","개방"
"79","1","185","167","헤더","시리얼","11","","","시리얼","20","개방"
"85","1","43","30","테일","초미세먼지","4","㎍","0~1000","초미세먼지","60","개방"
"85","1","43","30","테일","유동인구","6","명","0~100000","유동인구","70","개방"
"85","1","43","30","테일","교통량","6","ea","0~100000","교통량","80","개방"
"85","1","43","30","테일","속도","3","km/h","0~300","속도","90","개방"
"86","1","23","8","헤더","모델명","6","","","모델명","10","개방"
"106","1","19","8","헤더","모델명","5","","","모델명","10","개방"
"83","1","43","23","테일","초미세먼지","4","㎍/㎡","0~9999","초미세먼지","30","개방"
"83","1","43","23","테일","미세먼지","4","㎍/㎡","0~9999","미세먼지","40","개방"
"83","1","43","23","테일","온도","2","℃","0 ~ 99","온도","50","개방"
"83","1","43","23","테일","습도","3","%","0 ~ 999","습도","60","개방"
"83","1","43","23","테일","총 유기 휘발성 화합물","5","ppb","0~99999","총 유기 휘발성 화합물","70","개방"
"83","1","43","23","테일","이산화탄소","5","ppm","0~99999","이산화탄소","80","개방"
"84","1","185","167","헤더","모델명","7","","SDOT001","모델명","10","개방"
"84","1","185","167","헤더","시리얼","11","","","시리얼","20","개방"
"84","1","185","167","테일","구분(1:평균/2:최대값/3:최소값)","1","","1~3","1:평균/2:최대값/3:최소값","30","개방"
"84","1","185","167","테일","미세먼지2.5(초미세먼지)","4","㎍/㎥","0~1500","30분 평균 초미세먼지         표현범위 →    0 ? 1500 (관측값)","40","개방"
"84","1","185","167","테일","미세먼지10(미세먼지)","4","㎍/㎥","0~1500","30분 평균 미세먼지 표현범위 →    0 ? 1500 (관측값)","50","개방"
"84","1","185","167","테일","기온","7","℃","500~1800","30분 평균 기온 표현범위 →  500 ? 1800 ((관측값 ＋ 100) × 10)","60","개방"
"84","1","185","167","테일","상대습도","3","%","0~100","30분 평균 상대습도 표현범위 →    0 ? 100 (관측값)","70","개방"
"84","1","185","167","테일","풍향","4","m/s","1~3599","30분 평균 풍향 표현범위 →    1 ? 3599 (관측값 × 10)","80","개방"
"84","1","185","167","테일","소음","2","㏈","35~85","30분 평균 소음 표현범위 →    35 ? 85 (관측값)","140","개방"
"84","1","185","167","테일","진동(x)","7","g","0~1600","30분 평균 진동(x) 표현범위 →    0 ? 1600 (관측값 × 100)","150","개방"
"84","1","185","167","테일","진동(y)","7","g","0~1600","30분 평균 진동(y) 표현범위 →    0 ? 1600 (관측값 × 100)","160","개방"
"84","1","185","167","테일","진동(z)","7","g","0~1600","30분 평균 진동(z) 표현범위 →    0 ? 1600 (관측값 × 100)","170","개방"
"85","1","43","30","헤더","모델명","8","","","모델명","10","개방"
"104","1","19","8","헤더","시리얼","6","","","시리얼","20","개방"
"104","1","19","8","테일","주차유무","2","","0 ~ 1","주차유무","30","개방"
"104","1","19","8","테일","허용여부(0 - 불용 1 - 허용)","2","","0 ~ 1","허용여부","40","개방"
"104","1","19","8","테일","차량번호","4","","4","차량번호 뒷자리","50","비공개"
"105","1","19","8","헤더","모델명","5","","","모델명","10","개방"
"105","1","19","8","헤더","시리얼","6","","","시리얼","20","개방"
"105","1","19","8","테일","주차유무","2","","0 ~ 1","주차유무","30","개방"
"105","1","19","8","테일","허용여부(0 - 불용 1 - 허용)","2","","0 ~ 1","허용여부","40","개방"
"105","1","19","8","테일","차량번호","4","","4","차량번호 뒷자리","50","비공개"
"106","1","19","8","헤더","시리얼","6","","","시리얼","20","개방"
"79","1","185","167","테일","미세먼지2.5(초미세먼지)","4","㎍/㎥","0~1500","1일 평균 초미세먼지         표현범위 →    0 ? 1500 (관측값)","40","개방"
"87","1","23","8","헤더","시리얼","9","","","시리얼","20","개방"
"87","1","23","8","테일","IN_CNT","3","대","0 ~ 99","진입차량수","30","개방"
"87","1","23","8","테일","PED_CNT","3","명","0 ~ 99(없을경우999)","보행자 감지 수","40","개방"
"87","1","23","8","테일","PWR","2","","Y or N","동작 중 : Y 정지 : N","50","개방"
"88","1","31","15","헤더","모델명","8","","","모델명","10","개방"
"88","1","31","15","헤더","시리얼","8","","","시리얼","20","개방"
"88","1","31","15","테일","서브시스템 ID","2","","","Zone내 서브시스템 ID","30","개방"
"88","1","31","15","테일","진입차량수_L","3","","","왼쪽방향 진입차량수","40","개방"
"88","1","31","15","테일","평균진입속도_L","2","","","왼쪽방향 평균진입속도","50","개방"
"88","1","31","15","테일","진입차량수_R","3","","","오른쪽방향 진입차량수","60","개방"
"88","1","31","15","테일","평균진입속도_R","2","","","오른쪽방향 평균진입속도","70","개방"
"79","1","185","167","테일","미세먼지10(미세먼지)","4","㎍/㎥","0~1500","1일 평균 미세먼지         표현범위 →    0 ? 1500 (관측값)","50","개방"
"79","1","185","167","테일","기온","7","℃","500~1800","1일 평균 기온         표현범위 →  500 ? 1800 ((관측값 ＋ 100) × 10)","60","개방"
"79","1","185","167","테일","상대습도","3","%","0~100","1일 평균 상대습도         표현범위 →    0 ? 100 (관측값)","70","개방"
"79","1","185","167","테일","풍향","4","m/s","1~3599","1일 평균 풍향         표현범위 →    1 ? 3599 (관측값 × 10)","80","개방"
"79","1","185","167","테일","풍속","7","m/s","1~1000","1일 평균 풍속         표현범위 →    1 ? 1000 (관측값 × 10)","90","개방"
"79","1","185","167","테일","돌풍 풍향","4","m/s","0~3599","1일 돌풍 풍향         표현범위 →    0 ? 3599 (관측값 × 10)","100","개방"
"79","1","185","167","테일","돌풍 풍속","7","m/s","0~1000","1일 돌풍 풍속         표현범위 →    0 ? 1000 (관측값 × 10)","110","개방"
